STATION,STATION_NAME,DATE,PRCP,TAVG,TMAX,TMIN
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20160601,0.00,76,83,65
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20160602,0.00,69,74,62
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20160603,0.04,66,72,63
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20160604,0.40,73,83,66
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20160605,0.91,69,74,67
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20160606,0.00,75,87,68
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20160607,0.01,79,87,66
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20160608,0.44,65,70,55
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20160609,0.00,64,74,56
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20160610,0.00,68,78,59
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20160611,0.10,75,90,64
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20160612,0.00,80,86,63
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20160613,0.00,66,74,59
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20160614,0.00,69,81,60
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20160615,0.22,75,87,66
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20160616,0.12,73,77,68
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20160617,0.00,71,80,66
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20160618,0.00,73,86,63
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20160619,0.00,75,84,68
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20160620,0.00,73,83,66
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20160621,0.00,81,89,73
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20160622,0.00,78,86,67
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20160623,0.00,74,81,68
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20160624,0.00,75,85,68
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20160625,0.00,73,83,65
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20160626,0.00,76,86,70
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20160627,0.28,76,84,69
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20160628,0.33,73,78,70
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20160629,0.01,76,87,70
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20160630,0.00,78,87,70
